-0.015873,0.434527,0.466009,-3.027,0.795,-1.454
0.083526,0.458889,0.374091,2.811,0.594,-1.766
0.00219,0.501931,0.375612,-2.886,0.814,-1.428
-0.017225,0.416636,0.42285,3.058,0.633,-1.44
-0.03247,0.404558,0.437437,-2.809,0.665,-1.53
-0.043095,0.558338,0.208942,-2.931,0.93,-1.317
0.023831,0.558238,0.163586,2.648,0.847,-1.925
-0.059095,0.545496,0.208812,-2.994,0.912,-1.335
-0.059806,0.403164,0.359331,-3.062,0.935,-1.377
-0.031267,0.307313,0.559822,-3.04,0.899,-1.445
0.092666,0.33956,0.490472,2.954,0.571,-1.722
-0.012854,0.403648,0.472975,-2.688,0.701,-1.479
0.03269,0.509307,0.341075,-2.98,0.762,-1.528
0.099646,0.505951,0.295432,2.697,0.693,-1.891
-0.009254,0.521295,0.31828,-3.093,0.819,-1.489
0.035791,0.525753,0.241751,3.148,0.711,-1.594
0.086087,0.513222,0.236842,2.832,0.695,-1.812
0.017627,0.529677,0.269691,-2.862,0.851,-1.431
0.006772,0.499211,0.334539,-3.099,0.818,-1.522
-0.079324,0.50905,0.314923,-2.895,0.787,-1.28
0.050619,0.515722,0.280642,2.881,0.722,-1.72
-0.000685,0.405096,0.439566,-3.065,0.808,-1.526
-0.069225,0.435798,0.394428,-2.919,0.818,-1.387
0.052047,0.43094,0.372744,3.035,0.701,-1.581
0.144062,0.436376,0.358428,2.887,0.763,-1.82
-0.036107,0.403607,0.432862,-3.005,0.801,-1.486
0.094443,0.436066,0.395414,3.067,0.777,-1.707
-0.090912,0.426972,0.409848,-2.688,0.793,-1.341
0.093849,0.459609,0.365735,2.989,0.708,-1.727
0.138152,0.468462,0.338555,2.741,0.749,-1.896
