-0.018777,0.348108,0.299103,-3.07,1.104,-1.386
0.101509,0.403374,0.251696,2.868,0.994,-1.704
-0.077633,0.456815,0.253471,-2.697,0.998,-1.218
-0.058627,0.500029,0.35056,-2.811,0.826,-1.297
-0.14504,0.498611,0.322596,-2.546,0.722,-0.998
0.012458,0.546014,0.286749,3.097,0.849,-1.584
-0.02121,0.558892,0.049168,-2.971,1.226,-1.346
0.126275,0.540882,0.222612,2.492,0.645,-2.28
-0.122558,0.560064,0.214344,-2.482,0.767,-0.763
-0.093753,0.578421,0.187114,-2.836,0.967,-1.118
-0.014216,0.419275,0.503791,3.132,0.913,-1.495
0.159493,0.436002,0.413166,2.59,0.673,-2.103
0.146925,0.437508,0.453079,2.754,0.86,-2.021
-0.082537,0.462874,0.448321,-2.747,0.872,-1.181
-0.027795,0.574758,0.197728,-3.129,0.989,-1.485
-0.01967,0.574299,0.202853,-2.606,0.894,-1.106
-0.031488,0.576554,0.172806,2.8,0.954,-1.764
-0.030777,0.561486,0.262776,-2.816,0.882,-1.262
0.011549,0.532335,0.325433,-2.849,0.846,-1.4
-0.044693,0.563534,0.245237,3.151,0.869,-1.455
-0.010674,0.407343,0.475739,-2.989,0.75,-1.489
-0.10709,0.45067,0.409559,-2.949,0.722,-1.251
0.067729,0.526575,0.365198,3.135,0.932,-1.667
-0.052003,0.560496,0.247461,3.111,0.862,-1.469
0.05754,0.556001,0.247332,2.69,0.78,-1.958
0.085883,0.443211,0.437069,3.105,0.749,-1.726
-0.004333,0.575473,0.25761,3.055,0.991,-1.604
-0.054338,0.57133,0.229327,-2.998,0.91,-1.336
0.095406,0.562755,0.213015,2.596,0.79,-2.144
0.19254,0.529713,0.19756,2.127,0.421,-2.664
